ix,race_id,driver_id,lap,position,time,milliseconds
400592,964,807,14,10,1:38.652,98652
400593,964,807,15,10,1:38.331,98331
400594,964,807,16,10,1:40.049,100049
400595,964,807,17,10,1:40.828,100828
400596,964,807,18,9,1:38.499,98499
400597,964,807,19,9,1:39.871,99871
400598,964,807,20,8,1:39.787,99787
400599,964,807,21,8,1:38.150,98150
400600,964,807,22,8,1:38.434,98434
400601,964,807,23,8,1:38.299,98299
400602,964,807,24,8,1:38.476,98476
400603,964,807,25,8,1:38.510,98510
400604,964,807,26,8,1:38.289,98289
400605,964,807,27,7,1:38.243,98243
400606,964,807,28,8,1:40.594,100594
400607,964,807,29,9,1:54.847,114847
400608,964,807,30,8,1:37.613,97613
400609,964,807,31,8,1:37.608,97608
400610,964,807,32,8,1:38.085,98085
400611,964,807,33,8,1:37.614,97614
400612,964,807,34,8,1:37.551,97551
400613,964,807,35,8,1:37.656,97656
400614,964,807,36,8,1:37.435,97435
400615,964,807,37,8,1:37.643,97643
400616,964,807,38,8,1:37.473,97473
400617,964,807,39,8,1:37.351,97351
400618,964,807,40,8,1:37.520,97520
400619,964,807,41,8,1:37.753,97753
400620,964,807,42,8,1:38.056,98056
400621,964,807,43,8,1:37.672,97672
400622,964,807,44,8,1:37.879,97879
400623,964,807,45,8,1:37.579,97579
400624,964,807,46,8,1:37.724,97724
400625,964,807,47,8,1:37.424,97424
400626,964,807,48,8,1:37.607,97607
400627,964,807,49,8,1:38.001,98001
400628,964,807,50,8,1:37.647,97647
400629,964,807,51,8,1:37.939,97939
400630,964,807,52,8,1:37.698,97698
400631,964,807,53,8,1:37.921,97921
400632,964,8,1,7,1:42.865,102865
400633,964,8,2,7,1:39.200,99200
400634,964,8,3,7,1:38.999,98999
400635,964,8,4,7,1:39.410,99410
400636,964,8,5,7,1:39.110,99110
400637,964,8,6,6,1:38.294,98294
400638,964,8,7,6,1:39.135,99135
400639,964,8,8,6,1:39.682,99682
400640,964,8,9,6,1:39.115,99115
400641,964,8,10,5,1:39.755,99755
400642,964,8,11,4,1:39.166,99166
400643,964,8,12,5,1:41.907,101907
400644,964,8,13,11,1:59.356,119356
400645,964,8,14,8,1:37.799,97799
400646,964,8,15,8,1:39.993,99993
400647,964,8,16,7,1:37.916,97916
400648,964,8,17,7,1:39.982,99982
400649,964,8,18,6,1:36.874,96874
400650,964,8,19,6,1:37.090,97090
400651,964,8,20,6,1:37.187,97187
400652,964,8,21,6,1:37.633,97633
400653,964,8,22,6,1:37.870,97870
400654,964,8,23,6,1:37.520,97520
400655,964,8,24,6,1:37.578,97578
400656,964,8,25,6,1:37.725,97725
